,TITLE,SEASON,REVIEW_RANK,IMAGE
134,彼女がフラグをおられたら（TVアニメ動画）,2014年春アニメ,3.3,https://img.anikore.jp/images/anime/8/6/3/7863/7863.jpg?width=122&height=122&type=crop
135,ソ・ラ・ノ・ヲ・ト（TVアニメ動画）,2010年冬アニメ,3.8,https://img.anikore.jp/51ej9WvqNkL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
136,機動戦士ガンダムSEED DESTINY[シードデスティニー]（TVアニメ動画）,2004年秋アニメ,3.7,https://img.anikore.jp/51TT0YJFPWL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
137,アオハライド（TVアニメ動画）,2014年夏アニメ,3.7,https://img.anikore.jp/images/anime/9/8/9/7989/7989.jpg?width=122&height=122&type=crop
138,BLOOD+ ブラッドプラス（TVアニメ動画）,2005年秋アニメ,3.8,https://img.anikore.jp/images/anime/8/0/8/808/808.jpg?width=122&height=122&type=crop
139,弱虫ペダル（TVアニメ動画）,2013年秋アニメ,3.8,https://img.anikore.jp/images/anime/6/1/3/7613/7613.jpg?width=122&height=122&type=crop
140,フリージング（TVアニメ動画）,2011年冬アニメ,3.4,https://img.anikore.jp/images/anime/2/7/3/2273/2273.jpg?width=122&height=122&type=crop
141,好きっていいなよ。（TVアニメ動画）,2012年秋アニメ,3.5,https://img.anikore.jp/images/anime/7/5/4/3754/3754.jpg?width=122&height=122&type=crop
142,マギ The Kingdom of magic (2期)（TVアニメ動画）,2013年秋アニメ,3.9,https://img.anikore.jp/images/anime/6/3/4/7634/7634.jpg?width=122&height=122&type=crop
143,神さまのいない日曜日（TVアニメ動画）,2013年夏アニメ,3.7,https://img.anikore.jp/images/anime/5/2/4/7524/7524.jpg?width=122&height=122&type=crop
144,蒼穹のファフナー（TVアニメ動画）,2004年夏アニメ,3.8,https://img.anikore.jp/518ELnbOyKL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
145,DEVIL SURVIVOR 2 the ANIMATION（TVアニメ動画）,2013年春アニメ,3.4,https://img.anikore.jp/images/anime/9/9/8/3998/3998.jpg?width=122&height=122&type=crop
146,薄桜鬼（TVアニメ動画）,2010年春アニメ,4.0,https://img.anikore.jp/images/anime/4/5/1/1451/1451.jpg?width=122&height=122&type=crop
147,アルスラーン戦記（TVアニメ動画）,2015年春アニメ,3.8,https://img.anikore.jp/images/anime/9/1/2/8912/8912.jpg?width=122&height=122&type=crop
148,WHITE ALBUM2（TVアニメ動画）,2013年秋アニメ,3.9,https://img.anikore.jp/images/anime/6/0/3/7603/7603.jpg?width=122&height=122&type=crop
149,ロウきゅーぶ！SS (第2期)（TVアニメ動画）,2013年夏アニメ,3.8,https://img.anikore.jp/616ZvCiYeGL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
150,デス・パレード（TVアニメ動画）,2015年冬アニメ,3.7,https://img.anikore.jp/images/anime/6/6/6/8666/8666.jpg?width=122&height=122&type=crop
151,フォーチュン アテリアル-赤い約束-[FORTUNE ARTERIAL]（TVアニメ動画）,2010年秋アニメ,3.6,https://img.anikore.jp/images/anime/0/9/5/2095/2095.jpg?width=122&height=122&type=crop
152,ノエイン もうひとりの君へ（TVアニメ動画）,2005年秋アニメ,3.7,https://img.anikore.jp/41SDZEYS0PL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
153,俺たちに翼はない（TVアニメ動画）,2011年春アニメ,3.5,https://img.anikore.jp/images/anime/7/3/0/2730/2730.jpg?width=122&height=122&type=crop
154,櫻子さんの足下には死体が埋まっている（TVアニメ動画）,2015年秋アニメ,3.6,https://img.anikore.jp/images/anime/2/2/6/9226/9226.jpg?width=122&height=122&type=crop
155,かみちゅ！（TVアニメ動画）,2005年夏アニメ,3.7,https://img.anikore.jp/515GDZMXW4L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
156,夏色キセキ（TVアニメ動画）,2012年春アニメ,3.5,https://img.anikore.jp/images/anime/5/4/8/3548/3548.jpg?width=122&height=122&type=crop
157,Free！ Eternal Summer（TVアニメ動画）,2014年夏アニメ,3.8,https://img.anikore.jp/images/anime/0/0/7/8007/8007.jpg?width=122&height=122&type=crop
158,デンキ街の本屋さん（TVアニメ動画）,2014年秋アニメ,3.5,https://img.anikore.jp/images/anime/2/3/6/8236/8236.jpg?width=122&height=122&type=crop
159,エウレカセブンＡＯ（TVアニメ動画）,2012年春アニメ,3.4,https://img.anikore.jp/images/anime/5/7/5/3575/3575.jpg?width=122&height=122&type=crop
160,MAJOR 第1シリーズ-メジャー（TVアニメ動画）,2004年秋アニメ,3.9,https://img.anikore.jp/31KZ4Z352ZL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
161,最終兵器彼女（TVアニメ動画）,2002年夏アニメ,3.5,https://img.anikore.jp/images/anime/4/6/2/462/462.jpg?width=122&height=122&type=crop
